Wire,Location,Signal
,CN3-23,(not used - blank on source table)
,CN3-24,(not used - blank on source table)
,CN3-25,(not used - blank on source table)
,CN3-26,(not used - blank on source table)
,CN3-27,(not used - blank on source table)
,CN3-28,(not used - blank on source table)
,CN3-29,(not used - blank on source table)
,CN3-30,(not used - blank on source table)
,CN3-31,(not used - blank on source table)
,CN3-32,(not used - blank on source table)
,CN3-34,(not used - blank on source table)
,CN3-45,(not used - blank on source table)
,CN3-46,(not used - blank on source table)
,CN3-47,(not used - blank on source table)
,CN3-48,(not used - blank on source table)
MF,CN7-1,M FUNCTION
M11,CN7-2,M CODE 11
M12,CN7-3,M CODE 12
M14,CN7-4,M CODE 14
M18,CN7-5,M CODE 18
M21,CN7-6,M CODE 21
M22,CN7-7,M CODE 22
M24,CN7-8,M CODE 24
M28,CN7-9,M CODE 28
M31,CN7-10,M CODE 31
M32,CN7-11,M CODE 32
M34,CN7-12,M CODE 34
M38,CN7-13,M CODE 38
ZPX,CN7-14,ZERO POS. X AXIS
ZPY,CN7-15,ZERO POS. Y AXIS
ZPZ,CN7-16,ZERO POS. Z AXIS
0G,CN7-17,DC24V COM (-)
0G,CN7-18,DC24V COM (-)
ZP4,CN7-19,ZERO POS. 4 AXIS
MFA,CN7-20,M FUNCTION A
FHDL,CN7-21,FEED HOLD LED
ZPZ2,CN7-22,2nd ZERO POS. Z AXIS
AUTM,CN7-23,AUTO MODE
PUCCD,CN7-24,PALLET UNCLAMP COMMAND
FHDPB,CN7-25,FEED HOLD P.B.
CSTL,CN7-26,CYCLE START LED
CSTPB,CN7-27,CYCLE START P.B.
PCLCD,CN7-28,PALLET CLAMP COMMAND
ISP3,CN7-29,INPUT SPARE 3
MRDY,CN7-30,MACHINE READY
RST,CN7-31,RESET OUT
OSP4,CN7-32,OUTPUT SPARE 4
OSP3,CN7-33,OUTPUT SPARE 3
P1ON,CN7-34,PALLET NO.1 ON (FMS)
P2ON,CN7-35,PALLET NO.2 ON (FMS)
